"sep=	"
Shimmer_D349_TimestampSync_Unix_CAL	Shimmer_D349_Accel_LN_X_CAL	Shimmer_D349_Accel_LN_Y_CAL	Shimmer_D349_Accel_LN_Z_CAL	Shimmer_D349_Battery_CAL	Shimmer_D349_Ext_Exp_A7_CAL	Shimmer_D349_GSR_Range_CAL	Shimmer_D349_GSR_Skin_Conductance_CAL	Shimmer_D349_GSR_Skin_Resistance_CAL	Shimmer_D349_Mag_X_CAL	Shimmer_D349_Mag_Y_CAL	Shimmer_D349_Mag_Z_CAL	Shimmer_D349_Pressure_BMP280_CAL	Shimmer_D349_Temperature_BMP280_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	mV	mV	no_units	uS	kOhms	local_flux	local_flux	local_flux	kPa	Degrees Celsius	
1.6985040868365205E12	6.717391304347826	0.5652173913043478	9.804347826086957	3667.399267399267	1720.8791208791208	3.0	0.06815406815406817	14672.638436482079	-0.13043478260869565	0.10494752623688156	-0.7451274362818591	99.69071257029856	28.772695046762237	
1.6985040868560535E12	6.706521739130435	0.6086956521739131	9.771739130434783	3667.399267399267	1731.8681318681317	3.0	0.06815406815406817	14672.638436482079	-0.12443778110944527	0.0944527736131934	-0.7511244377811094	99.6826087832423	28.772695046762237	
1.6985040868755864E12	6.695652173913043	0.5869565217391304	9.782608695652174	3660.07326007326	1725.2747252747251	3.0	0.06815406815406817	14672.638436482079	-0.136431784107946	0.08995502248875561	-0.7616191904047975	99.6826087832423	28.772695046762237	
1.6985040868951194E12	6.695652173913043	0.5543478260869565	9.804347826086957	3645.421245421245	1702.5641025641025	3.0	0.06815406815406817	14672.638436482079	-0.1184407796101949	0.11244377811094453	-0.7481259370314842	99.6826087832423	28.772695046762237	
1.6985040869146523E12	6.684782608695652	0.5434782608695652	9.782608695652174	3665.9340659340655	1718.6813186813185	3.0	0.06815406815406817	14672.638436482079	-0.12593703148425786	0.09745127436281859	-0.7526236881559221	99.68801130543336	28.772695046762237	
1.6985040869341853E12	6.663043478260869	0.5217391304347826	9.75	3649.8168498168498	1710.6227106227104	3.0	0.06815406815406817	14672.638436482079	-0.12593703148425786	0.0944527736131934	-0.7571214392803598	99.6826087832423	28.772695046762237	
1.6985040869537183E12	6.684782608695652	0.5434782608695652	9.771739130434783	3645.421245421245	1682.7838827838827	3.0	0.06815406815406817	14672.638436482079	-0.12593703148425786	0.10794602698650674	-0.7586206896551724	99.6826087832423	28.772695046762237	
1.6985040869732512E12	6.695652173913043	0.5978260869565217	9.771739130434783	3668.8644688644686	1711.3553113553112	3.0	0.06859806859806863	14577.669902912616	-0.136431784107946	0.10494752623688156	-0.7631184407796102	99.6826087832423	28.772695046762237	
1.6985040869927842E12	6.728260869565217	0.5978260869565217	9.76086956521739	3664.468864468864	1721.6117216117216	3.0	0.06815406815406817	14672.638436482079	-0.12593703148425786	0.11544227886056971	-0.7526236881559221	99.6826087832423	28.772695046762237	
1.6985040870123171E12	6.739130434782608	0.5869565217391304	9.771739130434783	3673.260073260073	1738.4615384615383	3.0	0.06815406815406817	14672.638436482079	-0.12743628185907047	0.08995502248875561	-0.7541229385307346	99.6826087832423	28.772695046762237	
1.69850408703185E12	6.728260869565217	0.6195652173913043	9.76086956521739	3649.8168498168498	1719.4139194139193	3.0	0.06859806859806863	14577.669902912616	-0.12143928035982009	0.10494752623688156	-0.7571214392803598	99.67990752591643	28.772695046762237	
1.698504087051383E12	6.706521739130435	0.5760869565217391	9.771739130434783	3641.0256410256407	1698.168498168498	3.0	0.06815406815406817	14672.638436482079	-0.12293853073463268	0.10794602698650674	-0.7616191904047975	99.67450501880407	28.772695046762237	
1.698504087070916E12	6.717391304347826	0.5760869565217391	9.793478260869565	3677.655677655677	1729.6703296703295	3.0	0.06815406815406817	14672.638436482079	-0.12593703148425786	0.09745127436281859	-0.7481259370314842	99.6826087832423	28.772695046762237	
